path	type	size_bytes	modified_time	git_status	category	importance	include_in_upload	reason
aztec/results/double_dimer/disorder_covariance_fits.svg	file	11756	2026-08-02T10:42:11	clean	figure	useful	yes	retained figures for interpretation
aztec/results/double_dimer/double_dimer_fit_curves.csv	file	742	2026-08-02T10:38:01	clean	aggregate_result	essential	yes	retained numerical summaries and fit reports
aztec/results/double_dimer/double_dimer_fits.txt	file	717	2026-08-02T10:38:01	clean	aggregate_result	essential	yes	retained numerical summaries and fit reports
aztec/results/double_dimer/double_dimer_summary.csv	file	5503	2026-08-02T10:38:01	clean	aggregate_result	essential	yes	retained numerical summaries and fit reports
aztec/results/double_dimer/double_dimer_variance_fits.png	file	145585	2026-08-02T10:39:54	clean	figure	useful	yes	retained figures for interpretation
aztec/results/double_dimer/double_dimer_variance_fits.svg	file	10208	2026-08-02T10:42:11	clean	figure	useful	yes	retained figures for interpretation
aztec/results/double_dimer/variance_component_fits.txt	file	3324	2026-08-02T10:38:01	clean	aggregate_result	essential	yes	retained numerical summaries and fit reports
aztec/results/double_dimer/variance_decomposition.png	file	183320	2026-08-02T10:39:54	clean	figure	useful	yes	retained figures for interpretation
aztec/results/double_dimer/variance_decomposition.svg	file	22996	2026-08-02T10:42:11	clean	figure	useful	yes	retained figures for interpretation
aztec/results/height/center_height_variance.png	file	146368	2026-08-02T10:39:54	clean	figure	useful	yes	retained figures for interpretation
aztec/results/height/center_height_variance.svg	file	14326	2026-08-02T10:38:12	clean	figure	useful	yes	retained figures for interpretation
aztec/results/height/height_fit_curves.csv	file	741	2026-08-02T10:37:59	clean	aggregate_result	essential	yes	retained numerical summaries and fit reports
aztec/results/height/height_fits.txt	file	681	2026-08-02T10:37:59	clean	aggregate_result	essential	yes	retained numerical summaries and fit reports
aztec/results/height/height_summary.csv	file	1341	2026-08-02T10:37:59	clean	aggregate_result	essential	yes	retained numerical summaries and fit reports
aztec/results/model_comparison_by_cutoff.csv	file	2101	2026-08-02T10:07:29	clean	unknown	optional	no	not part of the current upload set
aztec/results/README.md	file	1457	2026-08-02T16:48:32	clean	documentation	useful	yes	retained result summary and interpretation
aztec/results/spatial/gamma_disorder_spatial_fits.png	file	91814	2026-08-02T16:48:06	clean	figure	useful	yes	retained figures for interpretation
aztec/results/spatial/gamma_disorder_spatial_fits.svg	file	15699	2026-08-02T16:48:06	clean	figure	useful	yes	retained figures for interpretation
aztec/results/spatial/pooled_log2_coefficients.png	file	41740	2026-08-02T16:48:06	clean	figure	useful	yes	retained figures for interpretation
aztec/results/spatial/pooled_log2_coefficients.svg	file	4484	2026-08-02T16:48:06	clean	figure	useful	yes	retained figures for interpretation
aztec/results/spatial/README.md	file	1480	2026-08-02T16:48:32	clean	unknown	useful	yes	retained result artifact
aztec/results/spatial/spatial_analysis_report.md	file	2671	2026-08-02T16:48:06	clean	unknown	useful	yes	retained result artifact
aztec/results/spatial/spatial_cutoff_sensitivity.csv	file	4495	2026-08-02T16:48:06	clean	aggregate_result	essential	yes	retained numerical summaries and fit reports
aztec/results/spatial/spatial_fit_curves.csv	file	14262	2026-08-02T16:48:06	clean	aggregate_result	essential	yes	retained numerical summaries and fit reports
aztec/results/spatial/spatial_model_comparison.csv	file	5127	2026-08-02T16:48:06	clean	aggregate_result	essential	yes	retained numerical summaries and fit reports
aztec/results/spatial/spatial_pooled_model_comparison.csv	file	1978	2026-08-02T16:48:06	clean	aggregate_result	essential	yes	retained numerical summaries and fit reports
aztec/results/spatial/spatial_summary.csv	file	11037	2026-08-02T16:48:06	clean	aggregate_result	essential	yes	retained numerical summaries and fit reports
aztec/results/spatial/spatial_variance_decomposition.png	file	62651	2026-08-02T16:48:06	clean	figure	useful	yes	retained figures for interpretation
aztec/results/spatial/spatial_variance_decomposition.svg	file	6574	2026-08-02T16:48:06	clean	figure	useful	yes	retained figures for interpretation
aztec/results/spatial/spatial_weighted_model_comparison.csv	file	3584	2026-08-02T16:48:06	clean	aggregate_result	essential	yes	retained numerical summaries and fit reports
aztec/results/spatial/uniform_control_spatial_fits.png	file	80794	2026-08-02T16:48:06	clean	figure	useful	yes	retained figures for interpretation
aztec/results/spatial/uniform_control_spatial_fits.svg	file	15743	2026-08-02T16:48:06	clean	figure	useful	yes	retained figures for interpretation
aztec/results/tilings/gamma_disordered_L200.png	file	2044299	2026-07-29T16:46:22	clean	unknown	optional	no	not part of the current upload set
aztec/results/tilings/uniform_L200.png	file	2049427	2026-07-29T16:46:22	clean	unknown	optional	no	not part of the current upload set
aztec/scripts/analyze_double_dimer_campaign.jl	file	23978	2026-08-02T10:41:21	clean	script	essential	yes	campaign runners, mergers, analyses, and plotters
aztec/scripts/analyze_height_campaign.jl	file	14301	2026-08-02T10:33:54	clean	script	essential	yes	campaign runners, mergers, analyses, and plotters
aztec/scripts/analyze_spatial_campaign.jl	file	40565	2026-08-02T16:46:04	clean	script	essential	yes	campaign runners, mergers, analyses, and plotters
aztec/scripts/merge_double_dimer_batches.jl	file	5478	2026-08-02T10:27:03	clean	script	essential	yes	campaign runners, mergers, analyses, and plotters
aztec/scripts/merge_height_batches.jl	file	5744	2026-08-02T10:27:03	clean	script	essential	yes	campaign runners, mergers, analyses, and plotters
aztec/scripts/plot_double_dimer_campaign.jl	file	15558	2026-08-02T10:42:02	clean	script	essential	yes	campaign runners, mergers, analyses, and plotters
aztec/scripts/plot_height_campaign.jl	file	9913	2026-08-02T10:32:18	clean	script	essential	yes	campaign runners, mergers, analyses, and plotters
aztec/scripts/plot_spatial_campaign.jl	file	16340	2026-08-02T16:44:52	clean	script	essential	yes	campaign runners, mergers, analyses, and plotters
aztec/scripts/run_double_dimer_campaign.jl	file	11117	2026-08-02T10:43:30	clean	script	essential	yes	campaign runners, mergers, analyses, and plotters
aztec/scripts/run_gamma_disordered.jl	file	7533	2026-08-02T10:32:18	clean	script	essential	yes	campaign runners, mergers, analyses, and plotters
aztec/scripts/run_height_campaign.jl	file	12197	2026-08-02T10:43:30	clean	script	essential	yes	campaign runners, mergers, analyses, and plotters
aztec/scripts/run_large_campaigns.sh	file	1122	2026-08-02T10:55:51	clean	script	essential	yes	campaign runners, mergers, analyses, and plotters
aztec/scripts/run_random_weights.jl	file	6326	2026-08-02T10:41:21	clean	script	essential	yes	campaign runners, mergers, analyses, and plotters
aztec/scripts/run_spatial_campaign.jl	file	12193	2026-08-02T11:09:23	clean	script	essential	yes	campaign runners, mergers, analyses, and plotters
aztec/scripts/run_spatial_publication_campaign.sh	file	1365	2026-08-02T11:03:39	clean	script	essential	yes	campaign runners, mergers, analyses, and plotters
aztec/src/AztecDiamond.jl	file	42311	2026-08-02T11:01:49	clean	core_source	essential	yes	authoritative simulation kernel
aztec/test/runtests.jl	file	11576	2026-08-02T11:02:09	clean	test	essential	yes	unit and smoke validation
aztec/test/smoke_workflows.sh	file	5942	2026-08-02T16:45:59	clean	test	essential	yes	unit and smoke validation
chatgpt_handoff/CHATGPT_HANDOFF.md	file	17258	2026-08-05T17:33:06	clean	documentation	essential	yes	handoff package documentation
chatgpt_handoff/FILE_INVENTORY.tsv	file	13554	2026-08-05T17:37:04	clean	generated	essential	yes	machine-readable handoff inventory
chatgpt_handoff/FIRST_FILES_TO_READ.md	file	2454	2026-08-05T17:34:29	clean	documentation	essential	yes	handoff package documentation
chatgpt_handoff/NEXT_IMPLEMENTATION_PLAN.md	file	3393	2026-08-05T17:34:29	clean	documentation	essential	yes	handoff package documentation
chatgpt_handoff/OPEN_QUESTIONS.md	file	2065	2026-08-05T17:34:29	clean	documentation	essential	yes	handoff package documentation
chatgpt_handoff/REPOSITORY_TREE.txt	file	6091	2026-08-05T17:35:55	clean	documentation	useful	yes	repository tree summary
chatgpt_handoff/RESEARCH_RESULTS_TABLE.csv	file	4829	2026-08-05T17:36:18	clean	aggregate_result	essential	yes	research results table for the handoff
chatgpt_handoff/UPLOAD_COMMANDS.sh	file	2195	2026-08-05T17:34:29	clean	script	essential	yes	safe upload packaging helper
chatgpt_handoff/UPLOAD_MANIFEST.md	file	3115	2026-08-05T17:36:42	clean	documentation	essential	yes	handoff package documentation
old/.DS_Store	file	6148	2026-08-02T14:06:20	ignored	unknown	optional	no	not part of the current upload set
old/previous_aztec_result_26050/center_height_variance.png	file	51704	2026-07-29T16:46:22	clean	archive	exclude	no	superseded legacy Aztec figure
old/random_walk/configs/temporal_iid_gamma_length.csv	file	8850	2026-07-27T21:51:08	clean	archive	useful	yes	historical LERW code and retained summaries
old/random_walk/configs/temporal_iid_pilot.csv	file	32949	2026-07-27T08:43:15	clean	archive	useful	yes	historical LERW code and retained summaries
old/random_walk/configs/temporal_iid_smoke.csv	file	943	2026-07-27T08:43:15	clean	archive	useful	yes	historical LERW code and retained summaries
old/random_walk/Manifest.toml	file	48601	2026-07-13T12:00:26	clean	config	useful	yes	archived Julia package metadata
old/random_walk/Project.toml	file	801	2026-07-13T12:00:26	clean	config	useful	yes	archived Julia package metadata
old/random_walk/README.md	file	4776	2026-07-29T16:50:07	clean	documentation	useful	yes	archived LERW project summary
old/random_walk/results/README.md	file	1156	2026-07-29T16:51:00	clean	archive	useful	yes	historical LERW code and retained summaries
old/random_walk/results/site_iid_paired/figures/annealed_scaling_all_distributions.png	file	230730	2026-07-29T16:46:22	clean	figure	optional	yes	archived visual result
old/random_walk/results/site_iid_paired/figures/bic_model_comparison.png	file	47195	2026-07-29T16:46:22	clean	figure	optional	yes	archived visual result
old/random_walk/results/site_iid_paired/figures/scaling_exponent_forest.png	file	52032	2026-07-29T16:46:22	clean	figure	optional	yes	archived visual result
old/random_walk/results/site_iid_paired/loglog_fits.csv	file	4440	2026-07-29T16:46:22	clean	archive	useful	yes	historical LERW code and retained summaries
old/random_walk/results/site_iid_paired/scaling_model_comparison.csv	file	5160	2026-07-29T16:46:22	clean	archive	useful	yes	historical LERW code and retained summaries
old/random_walk/results/site_iid_paired/summary.csv	file	57474	2026-07-29T16:46:22	clean	archive	useful	yes	historical LERW code and retained summaries
old/random_walk/results/site_iid_single/loglog_fits.csv	file	4444	2026-07-29T16:46:22	clean	archive	useful	yes	historical LERW code and retained summaries
old/random_walk/results/site_iid_single/scaling_model_comparison.csv	file	5193	2026-07-29T16:46:22	clean	archive	useful	yes	historical LERW code and retained summaries
old/random_walk/results/site_iid_single/summary.csv	file	30184	2026-07-29T16:46:22	clean	archive	useful	yes	historical LERW code and retained summaries
old/random_walk/results/temporal_gamma_length/loglog_fits.csv	file	461	2026-07-29T16:46:22	clean	archive	useful	yes	historical LERW code and retained summaries
old/random_walk/results/temporal_gamma_length/path_length_fits.csv	file	527	2026-07-29T16:46:22	clean	archive	useful	yes	historical LERW code and retained summaries
old/random_walk/results/temporal_gamma_length/path_length_pointwise.csv	file	989	2026-07-29T16:46:22	clean	archive	useful	yes	historical LERW code and retained summaries
old/random_walk/results/temporal_gamma_length/scaling_model_comparison.csv	file	438	2026-07-29T16:46:22	clean	archive	useful	yes	historical LERW code and retained summaries
old/random_walk/results/temporal_gamma_length/summary.csv	file	4060	2026-07-29T16:46:22	clean	archive	useful	yes	historical LERW code and retained summaries
old/random_walk/results/temporal_gamma_length/temporal_direction_diagnostics.csv	file	3945	2026-07-29T16:46:22	clean	archive	useful	yes	historical LERW code and retained summaries
old/random_walk/scripts/analyze_results.jl	file	65	2026-07-01T22:43:44	clean	archive	useful	yes	historical LERW code and retained summaries
old/random_walk/scripts/generate_config.jl	file	73	2026-07-01T22:43:43	clean	archive	useful	yes	historical LERW code and retained summaries
old/random_walk/scripts/plot_results.jl	file	11691	2026-07-27T09:01:28	clean	archive	useful	yes	historical LERW code and retained summaries
old/random_walk/scripts/run_batch.jl	file	67	2026-07-01T22:43:43	clean	archive	useful	yes	historical LERW code and retained summaries
old/random_walk/scripts/run_campaign.jl	file	70	2026-07-13T11:59:07	clean	archive	useful	yes	historical LERW code and retained summaries
old/random_walk/src/analysis.jl	file	39545	2026-07-27T21:47:12	clean	archive	useful	yes	historical LERW code and retained summaries
old/random_walk/src/batch.jl	file	34684	2026-07-27T21:47:12	clean	archive	useful	yes	historical LERW code and retained summaries
old/random_walk/src/config.jl	file	6343	2026-07-27T08:39:05	clean	archive	useful	yes	historical LERW code and retained summaries
old/random_walk/src/LERWResearch.jl	file	1114	2026-07-27T21:47:12	clean	archive	useful	yes	historical LERW code and retained summaries
old/random_walk/src/simulation.jl	file	11047	2026-07-27T08:48:22	clean	archive	useful	yes	historical LERW code and retained summaries
old/random_walk/test/runtests.jl	file	15773	2026-07-27T21:47:12	clean	archive	useful	yes	historical LERW code and retained summaries
old/README.md	file	575	2026-08-01T21:32:10	clean	documentation	useful	yes	archive overview
README.md	file	1885	2026-08-02T10:30:54	clean	documentation	essential	yes	top-level project overview
